Year,REG,PROV,COM,landsize,Age,Seed,Microcredit,Roof,Wall,Extension,Education,Status,Membership,L_ownership,Gender,Restored_land,Land_age,Organic_fertilizer,yields,Literacy,Primary_school,Secondary_school,Land_ownership,Pest_cl,Agri_training,Agro1,Agro2,Agro3,NPK,Membership_crop,Membership_other,hhid
2015.0,BOUCLE DU MOUHOUN,KOSSI,3.0,0.0725,31.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,13.793103,0.0,0.0,1.0,0.0,0.0,0.0,0.0,752.0
2015.0,BOUCLE DU MOUHOUN,KOSSI,3.0,1.4034,56.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,15.0,0.0,1200.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,755.0
2015.0,BOUCLE DU MOUHOUN,KOSSI,3.0,1.9522,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,11.0,0.0,880.0,0.0,0.0,0.0,0.0,5.6346684,0.0,0.0,1.0,0.0,100.0,0.0,0.0,766.0
2015.0,BOUCLE DU MOUHOUN,KOSSI,4.0,0.2524,48.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,20.0,0.0,360.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,378.0
2015.0,BOUCLE DU MOUHOUN,KOSSI,4.0,0.2867,39.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,360.0,0.0,0.0,0.0,1.0,0.34879667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,874.0
2015.0,BOUCLE DU MOUHOUN,KOSSI,4.0,0.1251,61.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,21.0,0.0,80.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1976.0
2015.0,BOUCLE DU MOUHOUN,KOSSI,4.0,1.0598,38.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1983.0
2015.0,BOUCLE DU MOUHOUN,KOSSI,5.0,2.2927,44.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,27.0,0.0,680.0,0.0,0.0,0.0,1.0,1.3085008,0.0,0.0,1.0,0.0,0.0,0.0,0.0,693.0
2015.0,BOUCLE DU MOUHOUN,KOSSI,5.0,3.344,37.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,31.0,0.0,760.0,0.0,0.0,0.0,1.0,1.1961722,0.0,0.0,1.0,0.0,0.0,0.0,0.0,709.0
2015.0,BOUCLE DU MOUHOUN,KOSSI,5.0,2.4201,28.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,25.0,0.0,520.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,728.0
